<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.14	20:20:00	2331.404	2331.709	2330.917	2331.454	177	0	199
2024.06.14	20:25:00	2331.407	2331.785	2331.304	2331.785	189	0	200
2024.06.14	20:30:00	2331.741	2331.987	2331.354	2331.986	174	0	200
2024.06.14	20:35:00	2331.983	2332.115	2331.529	2331.830	216	0	200
2024.06.14	20:40:00	2331.818	2332.374	2331.728	2332.239	181	0	200
2024.06.14	20:45:00	2332.191	2332.668	2331.935	2332.350	248	0	200
2024.06.14	20:50:00	2332.357	2332.935	2332.263	2332.741	262	0	200
2024.06.14	20:55:00	2332.747	2333.064	2332.461	2332.825	155	0	200
2024.06.16	22:05:00	2331.087	2331.485	2330.815	2331.033	205	0	199
2024.06.16	22:10:00	2331.034	2331.429	2330.489	2330.561	205	0	199
2024.06.16	22:15:00	2330.559	2331.131	2330.098	2331.016	155	0	200
2024.06.16	22:20:00	2331.012	2331.117	2330.586	2330.880	126	0	200
2024.06.16	22:25:00	2330.880	2330.926	2329.937	2330.029	121	0	200
2024.06.16	22:30:00	2330.074	2330.179	2329.379	2329.379	184	0	200
2024.06.16	22:35:00	2329.430	2329.498	2328.670	2328.985	221	0	199
2024.06.16	22:40:00	2328.968	2329.003	2327.554	2328.280	223	0	200
2024.06.16	22:45:00	2328.301	2329.219	2328.238	2329.029	170	0	200
2024.06.16	22:50:00	2329.022	2329.580	2329.022	2329.428	144	0	200
2024.06.16	22:55:00	2329.383	2329.454	2328.795	2328.795	143	0	200
2024.06.16	23:00:00	2328.858	2329.183	2328.579	2328.776	161	0	200
2024.06.16	23:05:00	2328.801	2329.180	2328.141	2328.282	191	0	200
2024.06.16	23:10:00	2328.307	2328.620	2328.050	2328.449	150	0	200
2024.06.16	23:15:00	2328.449	2328.487	2328.122	2328.364	128	0	200
2024.06.16	23:20:00	2328.377	2328.411	2327.524	2327.626	165	0	199
2024.06.16	23:25:00	2327.676	2328.164	2327.412	2328.063	226	0	199
2024.06.16	23:30:00	2328.054	2329.675	2327.698	2328.949	299	0	200
2024.06.16	23:35:00	2328.996	2329.550	2328.860	2329.184	371	0	200
2024.06.16	23:40:00	2329.191	2329.377	2328.691	2329.262	225	0	200
2024.06.16	23:45:00	2329.282	2329.282	2328.388	2328.895	201	0	200
2024.06.16	23:50:00	2328.880	2328.934	2328.464	2328.658	177	0	200
2024.06.16	23:55:00	2328.658	2329.263	2328.604	2328.873	204	0	200
2024.06.17	00:00:00	2328.918	2328.918	2325.921	2326.551	399	0	199
2024.06.17	00:05:00	2326.565	2326.908	2325.481	2326.908	377	0	200
2024.06.17	00:10:00	2326.907	2326.907	2325.787	2326.680	393	0	200
2024.06.17	00:15:00	2326.726	2327.052	2325.222	2325.786	396	0	199
2024.06.17	00:20:00	2325.790	2326.251	2325.473	2326.251	313	0	200
2024.06.17	00:25:00	2326.235	2326.518	2325.420	2325.947	339	0	200
2024.06.17	00:30:00	2325.916	2326.866	2325.815	2326.067	345	0	199
2024.06.17	00:35:00	2326.119	2326.762	2325.950	2326.638	259	0	200
2024.06.17	00:40:00	2326.658	2326.738	2326.130	2326.735	254	0	200
2024.06.17	00:45:00	2326.692	2327.242	2326.543	2326.659	266	0	200
2024.06.17	00:50:00	2326.660	2326.701	2325.704	2326.465	277	0	200
2024.06.17	00:55:00	2326.420	2326.836	2326.086	2326.418	294	0	200
2024.06.17	01:00:00	2326.400	2326.819	2322.740	2324.766	1081	0	200
2024.06.17	01:05:00	2324.820	2325.480	2322.783	2323.644	686	0	200
2024.06.17	01:10:00	2323.667	2325.544	2323.408	2325.362	537	0	200
2024.06.17	01:15:00	2325.405	2327.742	2325.383	2327.585	635	0	199
2024.06.17	01:20:00	2327.604	2328.950	2326.992	2327.945	548	0	200
2024.06.17	01:25:00	2327.899	2328.016	2326.176	2326.449	437	0	200
2024.06.17	01:30:00	2326.405	2327.665	2326.044	2327.591	492	0	199
2024.06.17	01:35:00	2327.637	2328.510	2327.387	2327.511	428	0	200
2024.06.17	01:40:00	2327.542	2327.729	2325.375	2325.517	420	0	200
2024.06.17	01:45:00	2325.566	2326.984	2325.446	2326.636	492	0	200
2024.06.17	01:50:00	2326.575	2327.359	2325.973	2326.340	377	0	199
2024.06.17	01:55:00	2326.338	2326.775	2325.793	2326.257	329	0	200
2024.06.17	02:00:00	2326.213	2326.213	2324.578	2325.519	501	0	200
2024.06.17	02:05:00	2325.488	2325.738	2324.431	2325.088	429	0	199
2024.06.17	02:10:00	2325.114	2325.114	2323.486	2324.321	492	0	199
2024.06.17	02:15:00	2324.282	2325.356	2323.990	2325.250	336	0	200
2024.06.17	02:20:00	2325.265	2325.454	2324.791	2324.936	301	0	200
2024.06.17	02:25:00	2324.977	2325.755	2324.943	2325.562	271	0	200
2024.06.17	02:30:00	2325.502	2325.841	2323.833	2324.055	447	0	199
2024.06.17	02:35:00	2324.051	2324.388	2322.994	2324.156	470	0	199
2024.06.17	02:40:00	2324.174	2324.335	2321.819	2323.161	713	0	199
2024.06.17	02:45:00	2323.150	2323.150	2321.481	2322.500	397	0	199
2024.06.17	02:50:00	2322.506	2323.676	2322.287	2322.969	339	0	199
2024.06.17	02:55:00	2322.962	2323.799	2322.374	2322.655	343	0	199
2024.06.17	03:00:00	2322.606	2322.606	2321.660	2322.071	390	0	199
2024.06.17	03:05:00	2322.056	2323.173	2321.749	2322.375	391	0	200
2024.06.17	03:10:00	2322.337	2322.857	2322.003	2322.395	372	0	200
2024.06.17	03:15:00	2322.401	2322.776	2322.010	2322.113	336	0	199
2024.06.17	03:20:00	2322.069	2323.111	2321.984	2322.989	342	0	200
2024.06.17	03:25:00	2322.991	2323.251	2322.142	2322.807	333	0	200
2024.06.17	03:30:00	2322.818	2322.819	2322.116	2322.579	303	0	200
2024.06.17	03:35:00	2322.617	2322.972	2322.317	2322.418	264	0	200
2024.06.17	03:40:00	2322.371	2322.601	2321.953	2322.091	254	0	200
2024.06.17	03:45:00	2322.112	2322.724	2321.909	2322.525	236	0	199
2024.06.17	03:50:00	2322.515	2325.146	2322.476	2324.531	554	0	199
2024.06.17	03:55:00	2324.501	2324.670	2324.177	2324.309	279	0	199
2024.06.17	04:00:00	2324.307	2324.842	2324.307	2324.457	255	0	200
2024.06.17	04:05:00	2324.410	2324.628	2323.800	2323.959	233	0	200
2024.06.17	04:10:00	2323.961	2324.279	2323.773	2324.114	220	0	199
2024.06.17	04:15:00	2324.127	2324.148	2323.555	2323.932	245	0	200
2024.06.17	04:20:00	2323.904	2324.648	2323.869	2324.479	250	0	200
2024.06.17	04:25:00	2324.436	2324.611	2324.286	2324.574	223	0	200
2024.06.17	04:30:00	2324.589	2325.110	2324.212	2324.708	272	0	200
2024.06.17	04:35:00	2324.722	2326.234	2324.624	2326.131	281	0	200
2024.06.17	04:40:00	2326.134	2326.134	2325.369	2325.475	276	0	200
2024.06.17	04:45:00	2325.529	2325.986	2323.532	2323.532	434	0	200
2024.06.17	04:50:00	2323.504	2324.399	2322.636	2323.153	394	0	200
2024.06.17	04:55:00	2323.202	2323.781	2323.032	2323.692	254	0	200
2024.06.17	05:00:00	2323.675	2323.675	2321.572	2321.761	362	0	200
2024.06.17	05:05:00	2321.769	2322.482	2321.716	2321.989	284	0	200
2024.06.17	05:10:00	2321.983	2321.983	2320.950	2321.718	321	0	200
2024.06.17	05:15:00	2321.676	2321.867	2321.213	2321.652	248	0	200
2024.06.17	05:20:00	2321.639	2322.097	2321.301	2321.581	256	0	200
2024.06.17	05:25:00	2321.563	2321.701	2321.104	2321.689	258	0	200
2024.06.17	05:30:00	2321.720	2321.720	2319.314	2319.680	723	0	199
2024.06.17	05:35:00	2319.679	2320.162	2318.361	2319.899	532	0	199
2024.06.17	05:40:00	2319.868	2321.888	2319.769	2321.353	821	0	200
2024.06.17	05:45:00	2321.360	2321.573	2320.101	2320.253	383	0	200
2024.06.17	05:50:00	2320.243	2320.759	2319.294	2319.362	364	0	200
2024.06.17	05:55:00	2319.322	2319.374	2317.738	2318.551	358	0	199
2024.06.17	06:00:00	2318.505	2318.664	2317.278	2317.329	469	0	200
2024.06.17	06:05:00	2317.383	2318.398	2316.800	2318.126	531	0	199
2024.06.17	06:10:00	2318.176	2318.924	2317.424	2318.591	423	0	200
2024.06.17	06:15:00	2318.629	2319.237	2318.431	2318.782	401	0	200
2024.06.17	06:20:00	2318.733	2318.900	2317.520	2318.787	398	0	199
2024.06.17	06:25:00	2318.753	2319.071	2318.346	2318.556	385	0	199
2024.06.17	06:30:00	2318.572	2318.572	2317.387	2317.791	390	0	200
2024.06.17	06:35:00	2317.746	2318.368	2315.441	2315.663	386	0	200
2024.06.17	06:40:00	2315.609	2316.985	2315.506	2316.809	424	0	200
2024.06.17	06:45:00	2316.850	2318.320	2316.702	2317.828	375	0	200
2024.06.17	06:50:00	2317.842	2317.950	2316.509	2317.652	472	0	199
2024.06.17	06:55:00	2317.677	2318.220	2316.755	2317.365	583	0	200
2024.06.17	07:00:00	2317.335	2318.633	2316.974	2318.633	420	0	200
2024.06.17	07:05:00	2318.713	2319.251	2318.230	2318.624	377	0	200
2024.06.17	07:10:00	2318.653	2318.947	2318.004	2318.338	363	0	199
2024.06.17	07:15:00	2318.350	2318.493	2316.370	2316.789	410	0	200
2024.06.17	07:20:00	2316.739	2318.035	2316.591	2317.785	392	0	200
2024.06.17	07:25:00	2317.845	2319.552	2317.320	2319.478	444	0	200
2024.06.17	07:30:00	2319.513	2320.058	2319.023	2319.801	369	0	200
2024.06.17	07:35:00	2319.844	2320.111	2317.847	2317.847	397	0	199
2024.06.17	07:40:00	2317.860	2318.102	2315.818	2316.207	423	0	200
2024.06.17	07:45:00	2316.177	2317.720	2315.521	2317.720	428	0	200
2024.06.17	07:50:00	2317.680	2319.346	2317.451	2319.002	395	0	199
2024.06.17	07:55:00	2318.968	2318.968	2316.810	2316.993	394	0	199
2024.06.17	08:00:00	2316.962	2317.961	2316.413	2317.817	340	0	200
2024.06.17	08:05:00	2317.817	2319.076	2317.706	2318.457	380	0	200
2024.06.17	08:10:00	2318.434	2319.822	2317.866	2319.822	425	0	200
2024.06.17	08:15:00	2319.873	2321.204	2319.873	2320.580	497	0	199
2024.06.17	08:20:00	2320.528	2321.434	2320.208	2320.650	499	0	200
2024.06.17	08:25:00	2320.677	2320.940	2320.182	2320.757	373	0	199
2024.06.17	08:30:00	2320.773	2320.773	2318.415	2318.974	436	0	200
2024.06.17	08:35:00	2318.978	2319.970	2318.637	2319.680	372	0	200
2024.06.17	08:40:00	2319.667	2320.537	2319.209	2319.661	359	0	200
2024.06.17	08:45:00	2319.676	2320.503	2319.664	2320.226	352	0	200
2024.06.17	08:50:00	2320.204	2322.151	2320.204	2321.834	425	0	199
2024.06.17	08:55:00	2321.856	2322.280	2321.271	2321.280	370	0	199
2024.06.17	09:00:00	2321.293	2322.144	2320.462	2321.961	380	0	200
2024.06.17	09:05:00	2322.010	2322.065	2320.805	2320.848	349	0	200
2024.06.17	09:10:00	2320.848	2322.586	2320.687	2322.317	375	0	200
2024.06.17	09:15:00	2322.314	2322.564	2321.600	2322.291	348	0	200
2024.06.17	09:20:00	2322.276	2322.276	2321.274	2321.356	325	0	200
2024.06.17	09:25:00	2321.337	2321.982	2320.619	2320.889	344	0	200
2024.06.17	09:30:00	2320.851	2321.337	2320.299	2320.548	402	0	200
2024.06.17	09:35:00	2320.556	2320.886	2319.546	2320.149	461	0	200
2024.06.17	09:40:00	2320.181	2320.790	2319.908	2320.274	470	0	200
2024.06.17	09:45:00	2320.218	2321.003	2320.018	2320.616	344	0	200
2024.06.17	09:50:00	2320.622	2320.723	2319.837	2320.000	318	0	200
2024.06.17	09:55:00	2319.980	2320.074	2319.203	2320.061	349	0	199
2024.06.17	10:00:00	2320.027	2320.775	2319.739	2320.452	318	0	200
2024.06.17	10:05:00	2320.461	2321.630	2320.280	2321.449	335	0	200
2024.06.17	10:10:00	2321.455	2322.339	2321.275	2322.075	336	0	200
2024.06.17	10:15:00	2322.069	2322.461	2321.341	2322.226	387	0	200
2024.06.17	10:20:00	2322.254	2322.548	2321.473	2321.936	468	0	200
2024.06.17	10:25:00	2321.906	2322.101	2321.486	2321.951	283	0	199
2024.06.17	10:30:00	2321.927	2322.366	2321.464	2322.208	314	0	200
2024.06.17	10:35:00	2322.210	2322.515	2321.106	2321.106	315	0	200
2024.06.17	10:40:00	2321.060	2321.262	2319.909	2320.205	318	0	200
2024.06.17	10:45:00	2320.198	2321.271	2319.519	2321.139	340	0	200
2024.06.17	10:50:00	2321.127	2321.490	2320.478	2320.587	305	0	200
2024.06.17	10:55:00	2320.586	2320.903	2319.551	2320.460	357	0	200
2024.06.17	11:00:00	2320.471	2320.826	2320.015	2320.271	369	0	200
2024.06.17	11:05:00	2320.292	2321.288	2319.815	2320.353	523	0	200
2024.06.17	11:10:00	2320.371	2320.601	2319.857	2320.344	296	0	200
2024.06.17	11:15:00	2320.341	2320.854	2319.793	2319.884	314	0	200
2024.06.17	11:20:00	2319.889	2321.337	2319.724	2321.168	321	0	200
2024.06.17	11:25:00	2321.222	2321.944	2320.939	2321.195	344	0	199
2024.06.17	11:30:00	2321.202	2321.313	2317.968	2317.968	437	0	199
2024.06.17	11:35:00	2318.021	2320.120	2317.551	2320.001	534	0	200
2024.06.17	11:40:00	2320.002	2320.376	2319.409	2319.626	328	0	200
2024.06.17	11:45:00	2319.565	2320.977	2318.758	2318.838	569	0	199
2024.06.17	11:50:00	2318.898	2319.995	2318.693	2319.607	418	0	199
2024.06.17	11:55:00	2319.605	2320.013	2318.057	2318.185	401	0	200
2024.06.17	12:00:00	2318.230	2319.089	2317.787	2318.669	524	0	199
2024.06.17	12:05:00	2318.650	2319.680	2318.650	2318.819	419	0	200
2024.06.17	12:10:00	2318.889	2319.867	2318.611	2319.281	399	0	199
2024.06.17	12:15:00	2319.331	2320.336	2318.077	2319.006	463	0	200
2024.06.17	12:20:00	2319.067	2320.050	2317.889	2319.451	649	0	199
2024.06.17	12:25:00	2319.443	2319.469	2317.386	2318.348	631	0	199
2024.06.17	12:30:00	2318.404	2318.510	2316.873	2316.945	561	0	200
2024.06.17	12:35:00	2316.973	2318.919	2316.767	2318.542	545	0	200
2024.06.17	12:40:00	2318.499	2319.645	2318.321	2319.624	428	0	199
2024.06.17	12:45:00	2319.628	2321.098	2319.373	2320.032	469	0	200
2024.06.17	12:50:00	2320.022	2320.397	2318.346	2319.000	487	0	199
2024.06.17	12:55:00	2318.956	2319.742	2318.594	2319.567	461	0	200
2024.06.17	13:00:00	2319.521	2321.350	2318.737	2320.417	766	0	199
2024.06.17	13:05:00	2320.436	2321.892	2320.078	2321.736	595	0	200
2024.06.17	13:10:00	2321.765	2324.937	2321.765	2324.028	724	0	200
2024.06.17	13:15:00	2324.085	2326.313	2323.447	2325.429	702	0	200
2024.06.17	13:20:00	2325.438	2326.239	2323.932	2324.058	613	0	199
2024.06.17	13:25:00	2324.103	2324.728	2323.083	2323.571	578	0	199
2024.06.17	13:30:00	2323.666	2325.746	2322.581	2325.595	882	0	199
2024.06.17	13:35:00	2325.548	2325.548	2322.581	2323.100	891	0	199
2024.06.17	13:40:00	2323.122	2323.166	2319.652	2319.766	784	0	199
2024.06.17	13:45:00	2319.816	2321.070	2319.020	2320.864	767	0	199
2024.06.17	13:50:00	2320.922	2321.554	2319.477	2321.074	682	0	199
2024.06.17	13:55:00	2321.013	2321.513	2320.181	2320.978	565	0	199
2024.06.17	14:00:00	2320.933	2321.393	2319.155	2319.715	748	0	199
2024.06.17	14:05:00	2319.666	2320.864	2318.313	2320.398	672	0	199
2024.06.17	14:10:00	2320.444	2320.731	2319.421	2319.804	613	0	199
2024.06.17	14:15:00	2319.747	2322.122	2319.095	2321.858	599	0	200
2024.06.17	14:20:00	2321.919	2323.698	2321.580	2323.604	613	0	200
2024.06.17	14:25:00	2323.574	2326.581	2323.457	2326.058	662	0	200
2024.06.17	14:30:00	2326.014	2327.643	2325.525	2326.036	688	0	199
2024.06.17	14:35:00	2326.082	2326.691	2323.859	2323.956	556	0	200
2024.06.17	14:40:00	2323.958	2325.695	2323.913	2324.972	606	0	200
2024.06.17	14:45:00	2324.973	2325.037	2322.718	2323.454	586	0	200
2024.06.17	14:50:00	2323.438	2323.613	2322.285	2322.977	491	0	199
2024.06.17	14:55:00	2323.008	2324.647	2323.008	2324.476	458	0	199
2024.06.17	15:00:00	2324.523	2325.481	2323.927	2323.960	470	0	200
2024.06.17	15:05:00	2323.933	2324.170	2322.750	2323.494	493	0	200
2024.06.17	15:10:00	2323.458	2323.466	2322.495	2323.009	428	0	200
2024.06.17	15:15:00	2323.013	2323.013	2320.764	2320.947	536	0	200
2024.06.17	15:20:00	2320.952	2322.503	2320.617	2322.257	532	0	200
2024.06.17	15:25:00	2322.214	2322.644	2319.424	2319.553	588	0	199
2024.06.17	15:30:00	2319.607	2319.663	2312.927	2314.435	1260	0	199
2024.06.17	15:35:00	2314.387	2314.535	2311.649	2312.052	1290	0	199
2024.06.17	15:40:00	2312.067	2312.963	2311.280	2311.391	939	0	199
2024.06.17	15:45:00	2311.427	2313.244	2310.237	2310.321	855	0	200
2024.06.17	15:50:00	2310.336	2312.084	2309.970	2312.037	801	0	199
2024.06.17	15:55:00	2311.996	2313.194	2311.411	2312.489	608	0	199
2024.06.17	16:00:00	2312.538	2315.120	2312.538	2315.001	590	0	200
2024.06.17	16:05:00	2314.986	2315.249	2314.009	2314.599	497	0	199
2024.06.17	16:10:00	2314.573	2314.751	2313.435	2314.441	558	0	200
2024.06.17	16:15:00	2314.455	2315.669	2314.213	2315.288	430	0	200
2024.06.17	16:20:00	2315.243	2315.862	2313.771	2314.025	407	0	200
2024.06.17	16:25:00	2314.007	2315.093	2313.451	2314.576	498	0	199
2024.06.17	16:30:00	2314.625	2315.764	2314.430	2315.639	421	0	199
2024.06.17	16:35:00	2315.595	2316.529	2315.497	2315.804	392	0	200
2024.06.17	16:40:00	2315.762	2316.171	2314.493	2314.556	407	0	200
2024.06.17	16:45:00	2314.568	2316.030	2314.511	2315.455	400	0	200
2024.06.17	16:50:00	2315.477	2316.975	2315.412	2316.657	372	0	200
2024.06.17	16:55:00	2316.702	2317.025	2315.764	2316.843	398	0	200
2024.06.17	17:00:00	2316.837	2318.307	2316.336	2317.795	408	0	199
2024.06.17	17:05:00	2317.775	2318.244	2317.660	2317.918	355	0	200
2024.06.17	17:10:00	2317.973	2318.168	2316.334	2316.850	376	0	199
2024.06.17	17:15:00	2316.926	2317.459	2316.760	2317.095	346	0	200
2024.06.17	17:20:00	2317.048	2317.094	2315.273	2315.798	430	0	200
2024.06.17	17:25:00	2315.757	2315.951	2313.973	2314.152	526	0	200
2024.06.17	17:30:00	2314.208	2314.679	2313.219	2314.038	473	0	200
2024.06.17	17:35:00	2314.040	2315.545	2314.024	2315.519	342	0	200
2024.06.17	17:40:00	2315.492	2316.009	2314.482	2315.775	331	0	199
2024.06.17	17:45:00	2315.725	2316.034	2315.278	2315.278	300	0	200
2024.06.17	17:50:00	2315.282	2316.774	2315.183	2316.606	329	0	200
2024.06.17	17:55:00	2316.572	2317.175	2316.309	2316.635	377	0	200
2024.06.17	18:00:00	2316.666	2316.974	2316.084	2316.867	397	0	200
2024.06.17	18:05:00	2316.861	2317.878	2316.725	2317.878	329	0	200
2024.06.17	18:10:00	2317.846	2318.374	2317.406	2317.488	329	0	200
2024.06.17	18:15:00	2317.534	2317.622	2316.750	2317.153	331	0	200
2024.06.17	18:20:00	2317.123	2317.561	2316.674	2317.269	355	0	200
2024.06.17	18:25:00	2317.220	2317.399	2316.773	2317.087	348	0	200
2024.06.17	18:30:00	2317.039	2317.158	2316.192	2316.801	328	0	200
2024.06.17	18:35:00	2316.741	2318.116	2316.247	2317.885	362	0	199
2024.06.17	18:40:00	2317.875	2319.221	2317.699	2318.752	345	0	200
2024.06.17	18:45:00	2318.739	2319.036	2318.374	2318.945	318	0	199
2024.06.17	18:50:00	2318.957	2319.000	2317.781	2317.874	308	0	200
2024.06.17	18:55:00	2317.865	2318.579	2317.751	2317.846	342	0	200
2024.06.17	19:00:00	2317.857	2318.745	2317.794	2318.392	365	0	200
2024.06.17	19:05:00	2318.359	2318.627	2317.963	2318.627	297	0	200
2024.06.17	19:10:00	2318.637	2319.601	2318.306	2319.480	337	0	200
2024.06.17	19:15:00	2319.469	2320.018	2318.413	2318.985	336	0	200
2024.06.17	19:20:00	2319.016	2319.521	2318.869	2319.327	298	0	200
2024.06.17	19:25:00	2319.385	2319.781	2318.450	2318.641	339	0	200
2024.06.17	19:30:00	2318.642	2320.352	2318.548	2320.023	353	0	200
2024.06.17	19:35:00	2320.018	2320.304	2319.513	2319.877	317	0	200
2024.06.17	19:40:00	2319.850	2320.426	2319.850	2320.058	324	0	199
2024.06.17	19:45:00	2320.097	2320.097	2319.304	2319.461	321	0	200
2024.06.17	19:50:00	2319.408	2320.281	2319.207	2319.686	325	0	200
2024.06.17	19:55:00	2319.710	2320.570	2319.710	2320.138	341	0	200
2024.06.17	20:00:00	2320.182	2320.725	2319.775	2319.959	295	0	200
2024.06.17	20:05:00	2319.956	2320.145	2319.677	2319.705	193	0	200
2024.06.17	20:10:00	2319.658	2320.018	2319.539	2319.644	182	0	200
2024.06.17	20:15:00	2319.646	2320.588	2319.643	2319.830	205	0	200
2024.06.17	20:20:00	2319.894	2319.894	2319.084	2319.436	198	0	200
2024.06.17	20:25:00	2319.405	2319.502	2319.037	2319.047	155	0	199
2024.06.17	20:30:00	2319.054	2319.054	2318.413	2318.669	199	0	200
2024.06.17	20:35:00	2318.718	2319.676	2318.718	2319.496	190	0	200
2024.06.17	20:40:00	2319.497	2319.528	2319.219	2319.333	112	0	200
2024.06.17	20:45:00	2319.330	2319.464	2318.650	2318.720	156	0	200
2024.06.17	20:50:00	2318.721	2319.197	2318.696	2318.711	153	0	200
2024.06.17	20:55:00	2318.711	2319.235	2318.711	2319.015	102	0	200
2024.06.17	22:00:00	2320.134	2320.728	2319.953	2320.118	166	0	200
2024.06.17	22:05:00	2320.121	2320.191	2319.695	2320.132	156	0	200
2024.06.17	22:10:00	2320.131	2320.285	2319.740	2320.103	149	0	200
2024.06.17	22:15:00	2320.116	2320.384	2320.099	2320.281	84	0	200
2024.06.17	22:20:00	2320.292	2320.404	2319.992	2320.184	102	0	200
2024.06.17	22:25:00	2320.189	2320.577	2320.174	2320.346	123	0	200
2024.06.17	22:30:00	2320.369	2320.905	2320.275	2320.568	152	0	200
2024.06.17	22:35:00	2320.622	2320.649	2320.289	2320.454	89	0	200
2024.06.17	22:40:00	2320.457	2320.479	2320.269	2320.416	105	0	200
2024.06.17	22:45:00	2320.411	2320.572	2320.233	2320.284	110	0	200
2024.06.17	22:50:00	2320.313	2320.623	2320.274	2320.578	122	0	200
2024.06.17	22:55:00	2320.599	2321.196	2320.591	2320.950	146	0	200
2024.06.17	23:00:00	2321.008	2321.227	2319.959	2320.020	199	0	199
2024.06.17	23:05:00	2320.013	2320.170	2319.364	2319.408	182	0	200
2024.06.17	23:10:00	2319.398	2319.583	2319.375	2319.477	138	0	200
2024.06.17	23:15:00	2319.499	2319.556	2319.148	2319.180	129	0	200
2024.06.17	23:20:00	2319.176	2319.825	2319.176	2319.578	157	0	200
2024.06.17	23:25:00	2319.597	2319.902	2319.337	2319.883	137	0	200
2024.06.17	23:30:00	2319.918	2320.090	2319.818	2319.867	141	0	200
2024.06.17	23:35:00	2319.868	2320.033	2319.806	2319.823	85	0	200
2024.06.17	23:40:00	2319.826	2320.276	2319.667	2320.162	133	0	200
2024.06.17	23:45:00	2320.212	2320.821	2320.077	2320.327	360	0	200
2024.06.17	23:50:00	2320.335	2320.520	2320.067	2320.175	208	0	200
2024.06.17	23:55:00	2320.167	2320.934	2320.109	2320.645	201	0	200
2024.06.18	00:00:00	2320.634	2323.216	2320.634	2322.087	423	0	200
2024.06.18	00:05:00	2322.058	2322.482	2321.464	2321.551	300	0	200
2024.06.18	00:10:00	2321.549	2321.728	2321.084	2321.136	249	0	200
2024.06.18	00:15:00	2321.125	2321.831	2321.005	2321.050	271	0	200
2024.06.18	00:20:00	2321.063	2321.548	2321.028	2321.408	241	0	200
2024.06.18	00:25:00	2321.412	2322.459	2321.178	2322.098	294	0	200
2024.06.18	00:30:00	2322.116	2324.764	2322.116	2324.591	422	0	199
2024.06.18	00:35:00	2324.575	2325.258	2323.924	2324.765	455	0	199
2024.06.18	00:40:00	2324.754	2325.454	2324.135	2325.183	369	0	200
